FFPC ID,Player,Position,ADP,Times Drafted,Date
14038,Mike Evans,WR,20.98,48,2022-08-01
26943,Chris Godwin,WR,67,48,2022-08-01
5228,Tom Brady,QB,83.21,48,2022-08-01
27341,Russell Gage,WR,91.73,48,2022-08-01
10025,Julio Jones,WR,164.33,48,2022-08-01
24443,Cameron Brate,TE,182.21,48,2022-08-01
T0742,Rob Gronkowski,TE,326.94,9,2022-08-01
14038,Mike Evans,WR,21,60,2022-07-31
26943,Chris Godwin,WR,66.37,60,2022-07-31
5228,Tom Brady,QB,83.52,60,2022-07-31
27341,Russell Gage,WR,90.02,60,2022-07-31
10025,Julio Jones,WR,166.43,60,2022-07-31
24443,Cameron Brate,TE,182.88,60,2022-07-31
T0742,Rob Gronkowski,TE,329.57,10,2022-07-31
14038,Mike Evans,WR,20.53,57,2022-07-30
26943,Chris Godwin,WR,67.26,57,2022-07-30
5228,Tom Brady,QB,83.46,57,2022-07-30
27341,Russell Gage,WR,87.56,57,2022-07-30
10025,Julio Jones,WR,176.47,56,2022-07-30
24443,Cameron Brate,TE,184.53,57,2022-07-30
T0742,Rob Gronkowski,TE,330.88,9,2022-07-30
14038,Mike Evans,WR,20.13,62,2022-07-29
26943,Chris Godwin,WR,68.18,62,2022-07-29
5228,Tom Brady,QB,83.32,62,2022-07-29
27341,Russell Gage,WR,83.77,62,2022-07-29
24443,Cameron Brate,TE,183.48,62,2022-07-29
10025,Julio Jones,WR,187.6,60,2022-07-29
T0742,Rob Gronkowski,TE,320.4,15,2022-07-29
14038,Mike Evans,WR,19.95,61,2022-07-28
26943,Chris Godwin,WR,69.03,61,2022-07-28
27341,Russell Gage,WR,80.33,61,2022-07-28
5228,Tom Brady,QB,82.95,61,2022-07-28
24443,Cameron Brate,TE,180.52,61,2022-07-28
10025,Julio Jones,WR,192.8,59,2022-07-28
T0742,Rob Gronkowski,TE,324.23,13,2022-07-28
14038,Mike Evans,WR,19.63,62,2022-07-27
26943,Chris Godwin,WR,69.44,62,2022-07-27
27341,Russell Gage,WR,78.32,62,2022-07-27
5228,Tom Brady,QB,82.95,62,2022-07-27
24443,Cameron Brate,TE,177.45,62,2022-07-27
10025,Julio Jones,WR,202.08,58,2022-07-27
T0742,Rob Gronkowski,TE,315.11,18,2022-07-27
14038,Mike Evans,WR,19.87,63,2022-07-26
26943,Chris Godwin,WR,68.78,63,2022-07-26
27341,Russell Gage,WR,75.75,63,2022-07-26
5228,Tom Brady,QB,82.71,63,2022-07-26
24443,Cameron Brate,TE,176.98,63,2022-07-26
10025,Julio Jones,WR,207.7,59,2022-07-26
T0742,Rob Gronkowski,TE,311.79,20,2022-07-26
14038,Mike Evans,WR,19.4,65,2022-07-25
26943,Chris Godwin,WR,70.11,65,2022-07-25
27341,Russell Gage,WR,74.02,65,2022-07-25
5228,Tom Brady,QB,82.63,65,2022-07-25
24443,Cameron Brate,TE,175.12,65,2022-07-25
10025,Julio Jones,WR,213.11,60,2022-07-25
T0742,Rob Gronkowski,TE,302.42,25,2022-07-25
14038,Mike Evans,WR,19.5,66,2022-07-24
26943,Chris Godwin,WR,70.35,66,2022-07-24
27341,Russell Gage,WR,73.45,66,2022-07-24
5228,Tom Brady,QB,81.91,66,2022-07-24
24443,Cameron Brate,TE,172.36,66,2022-07-24
10025,Julio Jones,WR,209.52,62,2022-07-24
T0742,Rob Gronkowski,TE,303.83,24,2022-07-24
14038,Mike Evans,WR,19.49,61,2022-07-23
26943,Chris Godwin,WR,70.43,61,2022-07-23
27341,Russell Gage,WR,73.59,61,2022-07-23
5228,Tom Brady,QB,81.82,61,2022-07-23
24443,Cameron Brate,TE,170.49,61,2022-07-23
10025,Julio Jones,WR,204.92,58,2022-07-23
T0742,Rob Gronkowski,TE,306.49,21,2022-07-23
14038,Mike Evans,WR,19.52,66,2022-07-22
26943,Chris Godwin,WR,69.77,66,2022-07-22
27341,Russell Gage,WR,74.17,66,2022-07-22
5228,Tom Brady,QB,81.77,66,2022-07-22
24443,Cameron Brate,TE,169.94,66,2022-07-22
10025,Julio Jones,WR,202.03,63,2022-07-22
T0742,Rob Gronkowski,TE,306.21,23,2022-07-22
14038,Mike Evans,WR,19.65,69,2022-07-21
26943,Chris Godwin,WR,70.35,69,2022-07-21
27341,Russell Gage,WR,73.57,69,2022-07-21
5228,Tom Brady,QB,81.12,69,2022-07-21
24443,Cameron Brate,TE,170.3,69,2022-07-21
10025,Julio Jones,WR,196.13,68,2022-07-21
